# Upstream v0.66.0 → v0.71.0 path disposition inventory
# Base: 0fc0eebb9604970c506708b7508d6aa38921fde2; target: 4af5e85a427b9f87334585ae8d0eb365d4dd2a1e
# Generated from git diff --name-status --find-renames. Disposition categories are explained in tasks/inventory-v0.71.md.
STATUS	FROM	TO	DISPOSITION
M	test/unit/herdr-inspector-bootstrap.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/herdr-inspector.test.ts		3-way conflict; resolve fork delta by inventory decision
A	test/unit/herdr-machine.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/herdr-native-placement.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/herdr-session-roots-codec.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/herdr-shell-command.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/host-peer-runtime-imports.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/index-child-registration.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/inspect-rpc.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/inspector-authority-policy.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/intercom-bridge.test.ts		take upstream edit, then review Selesai branding/config paths
D	test/unit/llm-intent-arbiter.test.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
M	test/unit/mcp-direct-tool-grant.test.ts		take upstream edit, then review Selesai branding/config paths
D	test/unit/model-exclusions.test.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
D	test/unit/model-fallback.test.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
A	test/unit/model-resolution-diagnostic.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/model-resolution.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/mutation-evidence.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/native-supervisor-channel.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/nested-control-fanout.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/nested-control.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/notify-diagnostics.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/notify.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/opencode-session-headers.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/orca-progress-tabs.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/owned-process-tree.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/package-manifest.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/pi-coding-agent-dir.test.ts		3-way conflict; resolve fork delta by inventory decision
A	test/unit/pi-spawn-host-root.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/pi-subagents-policy-guidance.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/preflight.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/proactive-skills.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/process-terminal.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/profiles.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/prompt-audit-optional-peers.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/prompt-workflows.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/pruned-fork.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/public-execution.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/readonly-drain-observation.test.ts		take upstream edit, then review Selesai branding/config paths
D	test/unit/readonly-model-continuation.test.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
D	test/unit/readonly-session-evidence.test.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
M	test/unit/render-helpers.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/required-child-extensions.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/result-intercom.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/retained-children.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/rpc.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/run-child-session.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/run-id-resolver.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/run-status.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/runner-bootstrap.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/runner-http-dispatcher.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/runner-peer-loader.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/runner-peer-symlinks.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/runtime-agent-registration.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/scheduled-runs.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/schemas.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/scripted-workflow.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/single-output.test.ts		3-way conflict; resolve fork delta by inventory decision
A	test/unit/skills-disable-model-invocation.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/skills-fallback.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/stale-run-reconciler.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/steering-action.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/steering.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/structured-output-rejection.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/structured-output-validation.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/subagent-control.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/subagent-prompt-runtime.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/subagent-wait.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/supervisor-ask-registration.test.ts		take upstream edit, then review Selesai branding/config paths
D	test/unit/task-intent.test.ts		adopt upstream removal; fork-owned behavior/docs/tests reconciled separately
M	test/unit/temp-paths.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/tool-activation.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/tool-budget.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/tool-description.test.ts		3-way conflict; resolve fork delta by inventory decision
A	test/unit/typed-gate-output.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/usage-reconciliation-owners.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/usage-reconciliation.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/wait-completions.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/wait-subscriptions.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/watchdog-child-status.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/watchdog-compaction-scope.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/watchdog-diff-tool.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/watchdog-native-scheduling.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/watchdog-permission-arbiter.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/watchdog-register-child.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/watchdog-render.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/watchdog-review.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/watchdog-rules.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/watchdog-runtime.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/watchdog-scope.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/watchdog-settings.test.ts		3-way conflict; resolve fork delta by inventory decision
A	test/unit/watchdog-stable-host-layout.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/watchdog-tool-actions.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/watchdog-turn-delta.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/workflow-chat-progress.test.ts		3-way conflict; resolve fork delta by inventory decision
M	test/unit/workflow-child-summary.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/workflow-detach-reconcile.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/workflow-launch-params.test.ts		take upstream edit, then review Selesai branding/config paths
M	test/unit/workflow-receipt.test.ts		take upstream edit, then review Selesai branding/config paths
A	test/unit/workflow-terminal-proof.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
A	test/unit/workflow-worktree-admission.test.ts		adopt upstream addition; apply documented fork and packaging exclusions
M	test/unit/worktree.test.ts		3-way conflict; resolve fork delta by inventory decision
A	tsconfig.build.json		skip: root scripts/copy-extensions.mjs owns package build (D5)
